Index,Frequency,Percentage,Word,Desc,Code,Translit,Len
303,302.69,51.81, месяц , сущ неод ед муж им ,133462,mesjats,7
304,302.26,51.84, брать , гл несов пер/не инф ,58221,brat',5
306,300.79,51.9, целый , прл ед муж им ,57504,tselyj,6
309,298.34,51.99, спина , сущ неод ед жен им ,18915,spina,5
311,295.71,52.05, пусть , част ,207620,pust',5
312,294.91,52.08, язык , сущ ед муж им ,35979,jazyk,5
313,293.51,52.1, точно , нар опред кач ,205838,tochno,6
314,292.83,52.13, среди , предл род ,4128201,sredi,5
316,291.79,52.19, сердце , сущ неод ед ср им ,165771,serdtse,7
317,291.36,52.22, вести , гл несов пер/не инф ,58389,vesti,5
318,290.87,52.25, иногда , нар опред спос ,200647,inogda,6
320,290.02,52.31, успеть , гл сов непер инф ,66929,uspet',6
321,288.85,52.34, небо , сущ неод ед ср им ,40631,nebo,4
322,288.24,52.37, живой , прл ед муж им ,49223,zhivoj,6
323,287.32,52.4, смерть , сущ неод ед жен им ,18453,smert',6
325,286.53,52.45, образ , сущ неод ед муж им ,29091,obraz,5
328,282.55,52.54, забыть , гл сов пер/не инф ,59900,zabyt',6
329,282.06,52.57, вокруг , предл род ,4128044,vokrug,6
330,281.69,52.59, письмо , сущ неод ед ср им ,42035,pis'mo,6
331,279.43,52.62, власть , сущ неод ед жен им ,3155,vlast',6
332,279.18,52.65, черный , прл ед муж им ,57634,chernyj,7
333,279.12,52.68, пройти , гл сов пер/не инф ,64648,projti,6
335,275.69,52.73, воздух , сущ неод ед муж им ,23877,vozduh,6
336,275.63,52.76, разный , прл ед муж им ,54864,raznyj,6
338,272.69,52.82, брат , сущ одуш ед муж им ,23277,brat,4
339,272.69,52.84, просить , гл несов пер/не инф ,64725,prosit',7
342,272.02,52.93, затем , нар обст врем ,200431,zatem,5
346,269.63,53.03, система , сущ неод ед жен им ,18057,sistema,7
347,268.35,53.06, четыре , числ кол им ,4015061,chetyre,7
350,267.31,53.14, также , част ,4104797,takzhe,6
351,266.94,53.17, любовь , сущ неод ед жен им ,9395,ljubov',7
352,266.57,53.19, солдат , сущ одуш ед муж им ,32925,soldat,6
353,265.78,53.22, откуда , нар вопр ,202929,otkuda,6
354,265.04,53.25, чтоб , союз ,207329,chtob,5
356,263.7,53.3, хозяин , сущ одуш ед муж им ,35055,hozjain,7
357,263.7,53.33, третий , числ поряд ед муж им ,4015442,tretij,6
358,263.57,53.35, вроде , предл род ,4128051,vrode,5
359,263.15,53.38, уходить , гл несов непер инф ,184347,uhodit',7
360,262.84,53.4, подойти , гл сов непер инф ,63041,podojti,7
365,260.82,53.54, оба , числ собир муж им ,4016597,oba,3
366,260.33,53.56, бросить , гл сов пер/не инф ,58319,brosit',7
367,258.98,53.59, школа , сущ неод ед жен им ,22251,shkola,6
368,258.74,53.61, парень , сущ одуш ед муж им ,135850,paren',6
369,258.31,53.64, кровь , сущ неод ед жен им ,8513,krov',5
371,257.15,53.69, солнце , сущ неод ед ср им ,165456,solntse,7
